Pozo,X,Y,elev_m
1,527829.0,9802096.0,12.438046209409205
2A,527824.0,9801906.0,11.608182806541299
2B,527835.0,9801928.0,11.66428638176179
3,527356.0,9801943.0,9.10690739029332
4,527489.0,9801923.0,12.160919321861334
5,527645.0,9802077.0,16.040108972032304
6,527833.0,9802088.0,14.894417335537165
7,528687.0,9802193.0,18.1794711583947
8,528804.0,9802291.0,20.005986557879915
9,528859.0,9802315.0,18.216982531463294
10,529001.0,9802506.0,20.024728634235938
11,528895.0,9802410.0,14.288587482882221
13,527650.0,9801909.0,9.922327291797584
14,527873.0,9801882.0,13.699526465001968
